"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp_var_rate","cons_price_idx","cons_conf_idx","euribor3m","nr_employed","subscribed"
32,"unemployed","married","basic.9y","no","no","no","telephone","may","fri",71,4,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
38,"housemaid","married","basic.6y","unknown","yes","no","telephone","may","fri",153,4,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
28,"technician","single","professional.course","no","yes","no","telephone","may","fri",315,4,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
40,"admin.","married","high.school","no","no","no","telephone","may","fri",83,3,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
47,"services","divorced","high.school","no","yes","no","telephone","may","mon",289,5,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
42,"self-employed","married","university.degree","no","yes","no","telephone","may","mon",1002,5,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
40,"technician","married","professional.course","unknown","no","no","telephone","may","mon",127,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
59,"retired","single","university.degree","no","no","no","telephone","may","mon",36,4,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
51,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","mon",172,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
56,"services","divorced","high.school","unknown","no","no","telephone","may","mon",154,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
33,"blue-collar","married","professional.course","no","no","no","telephone","may","mon",53,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
